0.1;1.00015 
1;1.00010 
4;1.00003 
10;1.00030 
15;1.00090 
20;1.00180 
25;1.00296 
30;1.00437 
35;1.00600 
40;1.00785 
45;1.00989 
50;1.01210 
55;1.01452 
60;1.01709 
65;1.01984 
70;1.02275 
75;1.02581 
80;1.02903 
85;1.03241 
90;1.03594 
95;1.03962 
100;1.04346 
110;1.05158 
120;1.06032 
140;1.07976 
160;1.10199 
180;1.12740 
200;1.15652 
220;1.19016 
240;1.22945 
260;1.27611 
280;1.33284 
300;1.40422 
320;1.49905 
340;1.63755 
360;1.89541 
373.946;3.10559 
